customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,SeniorCitizen,OnlineSecurity,TechSupport,PaperlessBilling,Actual_Churn,Predicted_Churn,Churn_Probability,Risk_Tier,Retention_Action
7590-VHVEG,1,29.85,29.85,Month-to-month,DSL,Electronic check,Female,0,No,No,Yes,0,1,0.83671314,High Risk,Send proactive onboarding call/email
5575-GNVDE,34,56.95,1889.5,One year,DSL,Mailed check,Male,0,Yes,No,No,0,0,0.070063464,Low Risk,Upsell security/support bundle
3668-QPYBK,2,53.85,108.15,Month-to-month,DSL,Mailed check,Male,0,Yes,No,Yes,1,1,0.61629677,Medium Risk,Send proactive onboarding call/email
7795-CFOCW,45,42.3,1840.75,One year,DSL,Bank transfer (automatic),Male,0,Yes,Yes,No,0,0,0.070769824,Low Risk,Monitor — no immediate action needed
9237-HQITU,2,70.7,151.65,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,1,1,0.8020783,High Risk,Offer contract discount (lock into 1-2yr plan)
9305-CDSKC,8,99.65,820.5,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,1,1,0.951139,High Risk,Promote auto-pay switch to reduce billing friction
1452-KIOVK,22,89.1,1949.4,Month-to-month,Fiber optic,Credit card (automatic),Male,0,No,No,Yes,0,1,0.61601025,Medium Risk,Upsell security/support bundle
6713-OKOMC,10,29.75,301.9,Month-to-month,DSL,Mailed check,Female,0,Yes,No,No,0,0,0.31711498,Low Risk,Upsell security/support bundle
7892-POOKP,28,104.8,3046.05,Month-to-month,Fiber optic,Electronic check,Female,0,No,Yes,Yes,1,1,0.83746356,High Risk,Promote auto-pay switch to reduce billing friction
6388-TABGU,62,56.15,3487.95,One year,DSL,Bank transfer (automatic),Male,0,Yes,No,No,0,0,0.031803053,Low Risk,Upsell security/support bundle
9763-GRSKD,13,49.95,587.45,Month-to-month,DSL,Mailed check,Male,0,Yes,No,Yes,0,0,0.2424521,Low Risk,Upsell security/support bundle
7469-LKBCI,16,18.95,326.8,Two year,No,Credit card (automatic),Male,0,No,No,No,0,0,0.0060868184,Low Risk,Upsell security/support bundle
8091-TTVAX,58,100.35,5681.1,One year,Fiber optic,Credit card (automatic),Male,0,No,No,No,0,0,0.43632305,Medium Risk,Upsell security/support bundle
0280-XJGEX,49,103.7,5036.3,Month-to-month,Fiber optic,Bank transfer (automatic),Male,0,No,No,Yes,1,1,0.76426613,High Risk,Upsell security/support bundle
5129-JLPIS,25,105.5,2686.05,Month-to-month,Fiber optic,Electronic check,Male,0,Yes,Yes,Yes,0,1,0.78947043,High Risk,Promote auto-pay switch to reduce billing friction
3655-SNQYZ,69,113.25,7895.15,Two year,Fiber optic,Credit card (automatic),Female,0,Yes,Yes,No,0,0,0.074067086,Low Risk,Monitor — no immediate action needed
8191-XWSZG,52,20.65,1022.95,One year,No,Mailed check,Female,0,No,No,No,0,0,0.03219633,Low Risk,Upsell security/support bundle
9959-WOFKT,71,106.7,7382.25,Two year,Fiber optic,Bank transfer (automatic),Male,0,Yes,No,No,0,0,0.13266645,Low Risk,Upsell security/support bundle
4190-MFLUW,10,55.2,528.35,Month-to-month,DSL,Credit card (automatic),Female,0,No,Yes,No,1,0,0.4289386,Medium Risk,Upsell security/support bundle
4183-MYFRB,21,90.05,1862.9,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,0,1,0.7150477,High Risk,Promote auto-pay switch to reduce billing friction
8779-QRDMV,1,39.65,39.65,Month-to-month,DSL,Electronic check,Male,1,No,No,Yes,1,1,0.92401975,High Risk,Send proactive onboarding call/email
1680-VDCWW,12,19.8,202.25,One year,No,Bank transfer (automatic),Male,0,No,No,No,0,0,0.1601978,Low Risk,Upsell security/support bundle
1066-JKSGK,1,20.15,20.15,Month-to-month,No,Mailed check,Male,0,No,No,No,1,1,0.68255943,Medium Risk,Send proactive onboarding call/email
3638-WEABW,58,59.9,3505.1,Two year,DSL,Credit card (automatic),Female,0,No,Yes,Yes,0,0,0.036379475,Low Risk,Upsell security/support bundle
6322-HRPFA,49,59.6,2970.3,Month-to-month,DSL,Credit card (automatic),Male,0,Yes,Yes,No,0,0,0.22971572,Low Risk,Monitor — no immediate action needed
6865-JZNKO,30,55.3,1530.6,Month-to-month,DSL,Bank transfer (automatic),Female,0,Yes,No,Yes,0,0,0.23349142,Low Risk,Upsell security/support bundle
6467-CHFZW,47,99.35,4749.15,Month-to-month,Fiber optic,Electronic check,Male,0,No,No,Yes,1,1,0.7644977,High Risk,Promote auto-pay switch to reduce billing friction
8665-UTDHZ,1,30.2,30.2,Month-to-month,DSL,Electronic check,Male,0,No,No,No,1,1,0.79576856,High Risk,Send proactive onboarding call/email
5248-YGIJN,72,90.25,6369.45,Two year,DSL,Credit card (automatic),Male,0,Yes,Yes,Yes,0,0,0.003337681,Low Risk,Monitor — no immediate action needed
8773-HHUOZ,17,64.7,1093.1,Month-to-month,DSL,Mailed check,Female,0,No,No,Yes,1,0,0.45571333,Medium Risk,Upsell security/support bundle
3841-NFECX,71,96.35,6766.95,Two year,Fiber optic,Credit card (automatic),Female,1,Yes,Yes,Yes,0,0,0.017648159,Low Risk,Offer senior-friendly discounted plan
4929-XIHVW,2,95.5,181.65,Month-to-month,Fiber optic,Credit card (automatic),Male,1,No,No,Yes,0,1,0.8797356,High Risk,Offer contract discount (lock into 1-2yr plan)
6827-IEAUQ,27,66.15,1874.45,One year,DSL,Mailed check,Female,0,Yes,Yes,No,0,0,0.09452099,Low Risk,Monitor — no immediate action needed
7310-EGVHZ,1,20.2,20.2,Month-to-month,No,Bank transfer (automatic),Male,0,No,No,No,0,0,0.439839,Medium Risk,Send proactive onboarding call/email
3413-BMNZE,1,45.25,45.25,Month-to-month,DSL,Bank transfer (automatic),Male,1,No,No,No,0,1,0.7074465,High Risk,Send proactive onboarding call/email
6234-RAAPL,72,99.9,7251.7,Two year,Fiber optic,Bank transfer (automatic),Female,0,Yes,Yes,No,0,0,0.005520166,Low Risk,Monitor — no immediate action needed
6047-YHPVI,5,69.7,316.9,Month-to-month,Fiber optic,Electronic check,Male,0,No,No,Yes,1,1,0.78938013,High Risk,Offer contract discount (lock into 1-2yr plan)
6572-ADKRS,46,74.8,3548.3,Month-to-month,Fiber optic,Credit card (automatic),Female,0,No,No,Yes,0,0,0.43443096,Medium Risk,Upsell security/support bundle
5380-WJKOV,34,106.35,3549.25,Month-to-month,Fiber optic,Electronic check,Male,0,No,No,Yes,1,1,0.7778482,High Risk,Promote auto-pay switch to reduce billing friction
8168-UQWWF,11,97.85,1105.4,Month-to-month,Fiber optic,Bank transfer (automatic),Female,0,No,No,Yes,1,1,0.9540012,High Risk,Upsell security/support bundle
8865-TNMNX,10,49.55,475.7,One year,DSL,Mailed check,Male,0,No,No,No,0,0,0.14579725,Low Risk,Upsell security/support bundle
9489-DEDVP,70,69.2,4872.35,Two year,DSL,Credit card (automatic),Female,0,Yes,No,Yes,0,0,0.09149439,Low Risk,Upsell security/support bundle
9867-JCZSP,17,20.75,418.25,One year,No,Mailed check,Female,0,No,No,No,0,0,0.06324143,Low Risk,Upsell security/support bundle
4671-VJLCL,63,79.85,4861.45,Two year,DSL,Credit card (automatic),Female,0,Yes,Yes,Yes,0,0,0.059978265,Low Risk,Monitor — no immediate action needed
4080-IIARD,13,76.2,981.45,Month-to-month,DSL,Electronic check,Female,0,Yes,Yes,Yes,0,0,0.5111937,Medium Risk,Monitor — no immediate action needed
3714-NTNFO,49,84.5,3906.7,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,0,1,0.7356194,High Risk,Upsell security/support bundle
5948-UJZLF,2,49.25,97.0,Month-to-month,DSL,Mailed check,Male,0,No,No,No,0,1,0.61665064,Medium Risk,Send proactive onboarding call/email
7760-OYPDY,2,80.65,144.15,Month-to-month,Fiber optic,Electronic check,Female,0,No,No,Yes,1,1,0.8650841,High Risk,Offer contract discount (lock into 1-2yr plan)
7639-LIAYI,52,79.75,4217.8,Two year,DSL,Credit card (automatic),Male,0,Yes,Yes,Yes,0,0,0.033973962,Low Risk,Monitor — no immediate action needed
2954-PIBKO,69,64.15,4254.1,Two year,DSL,Credit card (automatic),Female,0,Yes,Yes,Yes,0,0,0.015246853,Low Risk,Monitor — no immediate action needed
8012-SOUDQ,43,90.25,3838.75,Month-to-month,Fiber optic,Electronic check,Female,1,No,No,Yes,0,1,0.67510873,Medium Risk,Promote auto-pay switch to reduce billing friction
9420-LOJKX,15,99.1,1426.4,Month-to-month,Fiber optic,Credit card (automatic),Female,0,Yes,No,Yes,1,1,0.7989108,High Risk,Upsell security/support bundle
6575-SUVOI,25,69.5,1752.65,Month-to-month,DSL,Credit card (automatic),Female,1,Yes,Yes,Yes,0,0,0.24880654,Low Risk,Monitor — no immediate action needed
7495-OOKFY,8,80.65,633.3,Month-to-month,Fiber optic,Credit card (automatic),Female,1,No,No,Yes,1,1,0.86399466,High Risk,Upsell security/support bundle
4667-QONEA,60,74.85,4456.35,One year,DSL,Credit card (automatic),Female,1,Yes,Yes,Yes,0,0,0.086950585,Low Risk,Monitor — no immediate action needed
1658-BYGOY,18,95.45,1752.55,Month-to-month,Fiber optic,Electronic check,Male,1,No,No,Yes,1,1,0.84234,High Risk,Promote auto-pay switch to reduce billing friction
8769-KKTPH,63,99.65,6311.2,One year,Fiber optic,Credit card (automatic),Female,0,Yes,No,Yes,0,0,0.29174837,Low Risk,Upsell security/support bundle
5067-XJQFU,66,108.45,7076.35,One year,Fiber optic,Electronic check,Male,1,No,Yes,Yes,0,0,0.3283385,Low Risk,Promote auto-pay switch to reduce billing friction
3957-SQXML,34,24.95,894.3,Two year,No,Credit card (automatic),Female,0,No,No,No,0,0,0.031969156,Low Risk,Upsell security/support bundle
5954-BDFSG,72,107.5,7853.7,Two year,Fiber optic,Credit card (automatic),Female,0,No,Yes,Yes,0,0,0.038543444,Low Risk,Upsell security/support bundle
